source,activity,disposition
ultCPA/src/main/AndroidManifest.xml,com.jx885.lrjk.cg.ui.recommend.ChangePosterActivity,flutterPage
ultCPA/src/main/AndroidManifest.xml,com.jx885.lrjk.cg.ui.recommend.ChangedRecommendActivity,flutterPage
ultCPA/src/main/AndroidManifest.xml,com.jx885.lrjk.cg.ui.recommend.RecommendActivity,flutterPage
ultCPA/src/main/AndroidManifest.xml,com.jx885.lrjk.cg.ui.setting.AccountDetailsSettingActivity,flutterPage
ultCPA/src/main/AndroidManifest.xml,com.jx885.lrjk.cg.ui.setting.AccountSettingActivity,flutterPage
ultCPA/src/main/AndroidManifest.xml,com.jx885.lrjk.cg.ui.setting.AccountUnbindSettingActivity,flutterPage
ultCPA/src/main/AndroidManifest.xml,com.jx885.lrjk.cg.ui.setting.PrivacySettingActivity,flutterPage
ultCPA/src/main/AndroidManifest.xml,com.jx885.lrjk.cg.ui.setting.SettingActivity,flutterPage
ultCPA/src/main/AndroidManifest.xml,com.jx885.lrjk.skit.SelectNumActivity,flutterPage
ultCPA/src/main/AndroidManifest.xml,com.jx885.lrjk.skit.ViewPager2Activity,flutterPage
ultCPA/src/main/AndroidManifest.xml,com.jx885.lrjk.ui.FrameLayoutActivity,flutterPage
ultCPA/src/main/AndroidManifest.xml,com.jx885.lrjk.ui.OpenVipSuccessActivity,flutterPage
ultCPA/src/main/AndroidManifest.xml,com.jx885.lrjk.ui.exam.EmptyPayActivity,flutterPage
ultCPA/src/main/AndroidManifest.xml,com.jx885.lrjk.ui.learn.ReadyBeforeExamActivity,flutterPage
ultCPA/src/main/AndroidManifest.xml,com.jx885.lrjk.ui.video.AliVideoPlayActivity,flutterPage
ultCPA/src/main/AndroidManifest.xml,com.jx885.lrjk.ui.video.newVideoPlay.NewVideoPlayActivity,flutterPage
ultCPA/src/main/AndroidManifest.xml,com.jx885.lrjk.ui.web.SpeedWebActivity,flutterPage
ultCPA/src/main/AndroidManifest.xml,com.jx885.lrjk.ui.web.WebActivity,flutterPage
lib_http_capture/src/main/AndroidManifest.xml,com.levine.http_capture.NetRequestRecordActivity,flutterPage
ModuleLoginAndPay/AndroidManifest.xml,com.mobile.auth.gatewayauth.LoginAuthActivity,sdkManaged
ModuleLoginAndPay/AndroidManifest.xml,com.mobile.auth.gatewayauth.activity.AuthWebVeiwActivity,sdkManaged
ultCPA/src/main/AndroidManifest.xml,com.xmzj.ult.agg.wxapi.WXEntryActivity,pluginCallback
ultCPA/src/main/AndroidManifest.xml,com.xmzj.ult.agg.wxapi.WXPayEntryActivity,pluginCallback
